Date,Site Name,Type,Sample Name,Sample Analysis,Rn-222,RAD7 Run #,BB #,Rn (cpm),Rnwat (dpm/L),sigma (dpm/L),Sample Time,Analysis Time,Days,Rnwat (dpm/L),sigma (dpm/L),Type,Type,Field Status,Crop Status,NotesA,NotesB,Radon Notes,NotesC,NotesD,NotesE,NotesF,NotesG,ID,Phosphate (mg/L),Nitrite (mg/L),Nitrate/Nitrite (mg/L),Ammonia (mg/L),Nuts Notes,
8/8/18,SMBR,GW,SMBR_pumpJ1,"Rn-222, Nuts.",x,3,1,9.00,59.0,1.9,8/8/18 14:30,8/9/18 16:35,1.087,71.813,2.266,GW,GW sump,NaN,NaN,,,,,,,,,SMBR1,0.281,0.00337,81.8,0.0429,,
8/8/18,SMBR,SW,SMBR_ditchB1,"Rn-222, Nuts.",x,4,2,3.92,137.5,6.6,8/8/18 14:30,8/9/18 13:23,0.953,163.379,7.815,SW,irrig ditch (under sump pump),NaN,NaN,,,,,,,,,SMBR2,0.173,0.65,78.4,0.0634,,
9/5/18,SMWL_A,GW (pit),SMWL_A_pitA1,"Rn-222, Nut.,",x,12,3,14.75,4463.2,110.0,9/5/18 11:23,9/5/18 14:06,0.113,4555.289,112.295,GW (pit),GW pit (clay),Wet,Artichokes not yet harvested,,,Sediment in BB,,,,,,SMWL GW101,3.49,0.04775,-0.285,3.97,,
9/5/18,SMWL_A,GW (pit),SMWL_A_pitA2,"Rn-222, Nut.,",x,17,1,7.16,4855.5,171.7,9/5/18 11:44,9/6/18 10:27,0.947,5760.136,203.748,GW (pit),GW pit (clay),Wet,Artichokes not yet harvested,,,Sediment in BB,,,,,,-,-,-,-,-,,
9/5/18,SMWL_A,SW,SMWL_A_ditchB1,"Rn-222, Nut.,",x,14,6,1.46,40.2,3.1,9/5/18 11:40,9/5/18 19:24,0.322,42.599,3.335,SW,irrig ditch,Wet,Artichokes not yet harvested,,,,,,,,,SMWL SW201,0.74,0.575,10.05,0.625,,
9/5/18,SMWL_A,SW,SMWL_A_ditchC1,"Rn-222, Nut.,",x,13,5,1.57,19.3,1.5,9/5/18 12:03,9/5/18 16:44,0.195,19.969,1.509,SW,field drain,Wet,Artichokes not yet harvested,,,,,,,,,SWLS SW301,0.04085,0.4625,0.615,0.477,,
9/19/18,SMWL_B,SW,SMWL_B_ditchA1,"Rn-222, Nut.,",x,24,6,0.07,2.6,0.9,9/19/18 10:50,9/19/18 21:11,0.431,2.780,0.964,SW,irrig ditch,Damp,Artichokes not yet harvested,,,Slight aeration during collection ,,,,,,SMWLB1,0.808,0.0646,0.000906,0.0947,,
9/19/18,SMWL_B,GW,SMWL_B_pitB1,"Rn-222, Nut.,",x,28,4,23.77,8129.5,158.1,9/19/18 10:56,9/20/18 11:56,1.042,9811.269,190.761,GW,GW pit (clay),Damp,Artichokes not yet harvested,,,,,,,,,SMWLB2,1.34,0.302,7.88,0.427,,
9/19/18,SMWL_B,GW,SMWL_B_pitB2,Rn-222,x,31,5,61.04,3975.4,48.6,9/19/18 11:42,9/20/18 16:06,1.183,4921.999,60.124,GW,GW pit (clay) ,Damp,Artichokes not yet harvested,,,,,,,,,-,-,-,-,-,,
9/19/18,SMWL_B,GW,SWML_B_pitC1,"Rn-222, Nut.,",x,19,1,4.39,799.1,36.1,9/19/18 11:06,9/19/18 13:53,0.116,815.972,36.858,GW,GW pit (sand) ,Damp,Artichokes not yet harvested,,,Slight aeration during collection ,,,,,,SMWLB3,1.35,0.0527,0.659,6.7,,
9/19/18,SMWL_B,SW,SMWL_B_fieldD1,"Rn-222, Nut.,",x,22,3,1.20,11.7,1.0,9/19/18 11:06,9/19/18 17:29,0.266,12.304,1.065,SW,field drain,Damp,Artichokes not yet harvested,,,,,,,,,SMWLB4,0.841,3.72,9.51,0.142,,
9/19/18,SMWL_B,SW,SMWL_B_ditchE1,"Rn-222, Nut.,",x,26,2,1.42,14.9,1.2,9/19/18 11:28,9/20/18 0:15,0.533,16.395,1.301,SW,irrig ditch,Damp,Artichokes not yet harvested,,,Slight aeration during collection ,,,,,,SMWLB5,0.977,0.0435,-0.0000299,0.0896,,
9/26/18,SMBP,SW,SMBP_ditchA1,"Rn-222, Nut., ",x,33,1,4.45,60.1,2.7,9/26/18 11:28,9/26/18 13:10,0.071,60.914,2.732,SW,irrig ditch,Dry,Artichokes not yet harvested; an adjacent field is empty (dirt only),,,,,,,,,SMPB site A,0.592,0.2836,72.8,0.516,,
9/26/18,SMBP,SW,SMBP_ditchB1,"Rn-222, Nut., ",x,35,2,12.13,158.7,4.3,9/26/18 11:42,9/26/18 16:30,0.200,164.573,4.474,SW,irrig ditch (under sump pump),Dry,Artichokes not yet harvested; an adjacent field is empty (dirt only),,,,,,,,,SMBP site B,0.368,0.0876,75.84,0.2064,,
9/26/18,SMBP,GW,SMBP_pumpC1,"Rn-222, Nut., ",x,37,3,14.83,1416.4,34.8,9/26/18 11:23,9/26/18 20:40,0.387,1518.837,37.353,GW,GW sump,Dry,Artichokes not yet harvested; an adjacent field is empty (dirt only),,,,,,,,,SMBP site C,0.3192,0.0724,80.4,0.2808,,
10/3/18,SMBR,GW,SMBR_sumpA1,"Rn-222, Nuts., Isotopes",x,49,1,1.92,142.9,9.8,10/3/18 11:30,10/4/18 12:45,1.052,172.759,11.801,GW,GW sump,Wet,Recently irrigated; artichokes not yet harvested,,,,,,,,,10/3/18 SMBR GW PUMP A,0.163,0.0274,46,0.0702,Nitrite below calibration curve for 1:10,
10/3/18,SMBR,SW,SMBR_ditchB2,"Rn-222, Nuts., Isotopes",x,43,2,4.51,46.4,2.1,10/3/18 11:45,10/3/18 21:57,0.425,50.129,2.235,SW,irrig ditch (under sump pump),Wet,Recently irrigated; artichokes not yet harvested,,,Few air bubbles through BB,,,,,,10/3/18 SMBR SW DRAIN B,0.166,0.176,44.32,0.0906,,
10/3/18,SMBR,SW,SMBR_fieldC1,"Rn-222, Nuts., Isotopes",x,41,3,1.67,20.9,1.5,10/3/18 12:10,10/3/18 18:07,0.248,21.841,1.601,SW,field drain,Wet,Recently irrigated; artichokes not yet harvested,,,,,,,,,10/3/18 SMBR SW FIELD C,#VALUE!,0.88,170,3.088,,
10/3/18,SMOS,SW,SMOS_dtichD1,"Rn-222, Nut., Isotopes",x,39,4,2.61,131.4,8.0,10/3/18 12:37,10/3/18 15:02,0.101,133.762,8.190,SW,irrig ditch,Dry,Recently irrigated; artichokes not yet harvested,,,Cut zip tie early and let aerate for a few seconds before re-clamping,,,,,,10/3/18 SMOS SW DRAIN D,0.138,0.286,32.08,0.401,,
